locale,post_title,post_slug,post_url,status,current_image_url,hero_matches_delivery,list_cards_match_api,og_matches_primary,alt_matches_delivery,initial_stale_then_revalidated,cross_language_related_count
es,Widdo: Tu Identidad Deportiva Digital que Te Acompaña en Todos tus Roles,widdo-identidad-deportiva-digital,https://widdo.co/es/blog/widdo-identidad-deportiva-digital,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/widdo-identidad-deportiva-digital-es-portada.webp?v3,True,True,True,True,False,0
es,La lista de inscripción de temporada para clubes juveniles,lista-de-inscripcion-temporada-club-deportivo,https://widdo.co/es/blog/lista-de-inscripcion-temporada-club-deportivo,PORTADA_ANTERIOR_FUERA_DEL_ZIP,https://api.widdo.co/storage/blog/images/lista-de-inscripcion-temporada-club-deportivo.jpg?v=2,False,True,True,,False,0
es,Control de asistencia que los entrenadores sí van a usar,control-de-asistencia-clubes-deportivos-que-si-se-usa,https://widdo.co/es/blog/control-de-asistencia-clubes-deportivos-que-si-se-usa,PORTADA_ANTERIOR_FUERA_DEL_ZIP,https://api.widdo.co/storage/blog/images/control-de-asistencia-clubes-deportivos-que-si-se-usa.jpg?v=2,False,True,True,,False,0
es,Tendencias de Escuelas Deportivas para 2026: Lo que Viene,tendencias-escuelas-deportivas-2026,https://widdo.co/es/blog/tendencias-escuelas-deportivas-2026,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/tendencias-escuelas-deportivas-2026-es-portada.webp?v3,True,True,True,True,False,0
es,Qué automatizar primero en un club deportivo,automatizar-club-deportivo-tareas-manuales,https://widdo.co/es/blog/automatizar-club-deportivo-tareas-manuales,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/automatizar-club-deportivo-tareas-manuales-es-portada.webp?v3,True,True,True,True,False,1
es,Grupos de Facebook: El Arma Secreta para Comunidades Deportivas,grupos-facebook-comunidades-deportivas,https://widdo.co/es/blog/grupos-facebook-comunidades-deportivas,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/grupos-facebook-comunidades-deportivas-es-portada.webp?v3,True,True,True,True,False,0
es,Cómo Definir los Precios de tu Escuela Deportiva (Sin Subvalorarte),definir-precios-escuela-deportiva-colombia,https://widdo.co/es/blog/definir-precios-escuela-deportiva-colombia,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/definir-precios-escuela-deportiva-colombia-es-portada.webp?v3,True,True,True,True,False,0
es,Cómo Organizar Eventos Gratuitos que Atraigan Nuevos Alumnos,organizar-eventos-gratuitos-atraer-alumnos,https://widdo.co/es/blog/organizar-eventos-gratuitos-atraer-alumnos,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/organizar-eventos-gratuitos-atraer-alumnos-es-portada.webp?v3,True,True,True,True,False,0
es,"Una Cuenta, Múltiples Roles: Cómo Widdo Simplifica tu Vida Deportiva",widdo-cuenta-multiples-roles-deportivos,https://widdo.co/es/blog/widdo-cuenta-multiples-roles-deportivos,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/widdo-cuenta-multiples-roles-deportivos-es-portada.webp?v3,True,True,True,True,False,0
es,Calendario de Contenidos para Clubes: Qué Publicar Cada Mes del Año,calendario-contenidos-clubes-deportivos,https://widdo.co/es/blog/calendario-contenidos-clubes-deportivos,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/calendario-contenidos-clubes-deportivos-es-portada.webp?v3,True,True,True,True,False,0
es,Cómo Transformar Padres en Aliados (No en Clientes que Solo Pagan),transformar-padres-aliados-escuela-deportiva,https://widdo.co/es/blog/transformar-padres-aliados-escuela-deportiva,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/transformar-padres-aliados-escuela-deportiva-es-portada.webp?v3,True,True,True,True,False,0
es,Cómo Crear un Programa de Referidos que Duplique tus Inscripciones,programa-referidos-duplicar-inscripciones,https://widdo.co/es/blog/programa-referidos-duplicar-inscripciones,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/programa-referidos-duplicar-inscripciones-es-portada.webp?v3,True,True,True,True,False,0
es,TikTok para Escuelas Deportivas: Ideas de Contenido que Atraen Alumnos,tiktok-escuelas-deportivas-ideas-contenido,https://widdo.co/es/blog/tiktok-escuelas-deportivas-ideas-contenido,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/tiktok-escuelas-deportivas-ideas-contenido-es-portada.webp?v3,True,True,True,True,False,0
es,Las señales de que un jugador está a punto de dejar tu club,razones-abandono-alumnos-escuela-deportiva,https://widdo.co/es/blog/razones-abandono-alumnos-escuela-deportiva,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/razones-abandono-alumnos-escuela-deportiva-es-portada.webp?v3,True,True,True,True,False,1
es,Por qué falla el cobro de mensualidades en los clubes deportivos,reducir-morosidad-club-deportivo-cobros,https://widdo.co/es/blog/reducir-morosidad-club-deportivo-cobros,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/reducir-morosidad-club-deportivo-cobros-es-portada.webp?v3,True,True,True,True,True,2
es,Guía Completa de Instagram para Clubes Deportivos: Del Cero al Engagement,guia-instagram-clubes-deportivos,https://widdo.co/es/blog/guia-instagram-clubes-deportivos,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/guia-instagram-clubes-deportivos-es-portada.webp?v3,True,True,True,True,False,0
es,7 Estrategias de Marketing que Funcionan para Escuelas de Fútbol en Colombia,estrategias-marketing-escuelas-futbol-colombia,https://widdo.co/es/blog/estrategias-marketing-escuelas-futbol-colombia,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/estrategias-marketing-escuelas-futbol-colombia-es-portada.webp?v3,True,True,True,True,False,0
es,Adiós al caos del WhatsApp: el grupo no es un sistema de comunicación,adios-caos-whatsapp-escuela-deportiva,https://widdo.co/es/blog/adios-caos-whatsapp-escuela-deportiva,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/adios-caos-whatsapp-escuela-deportiva-es-portada.webp?v3,True,True,True,True,True,1
en,What Per-Player Pricing Actually Costs a Growing Club,per-player-pricing-youth-sports-software,https://widdo.co/en/blog/per-player-pricing-youth-sports-software,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/per-player-pricing-youth-sports-software-en-cover.webp?v3,True,True,True,True,False,1
en,Why Dues Collection Breaks Down in Youth Sports Clubs,why-dues-collection-breaks-down,https://widdo.co/en/blog/why-dues-collection-breaks-down,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/why-dues-collection-breaks-down-en-cover.webp?v3,True,True,True,True,False,1
en,Attendance Tracking Coaches Will Actually Use,attendance-tracking-youth-sports-clubs,https://widdo.co/en/blog/attendance-tracking-youth-sports-clubs,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/attendance-tracking-youth-sports-clubs-en-cover.webp?v3,True,True,True,True,False,2
en,The Signals a Player Is About to Leave Your Club,signals-player-about-to-leave-club,https://widdo.co/en/blog/signals-player-about-to-leave-club,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/signals-player-about-to-leave-club-en-cover.webp?v3,True,True,True,True,False,1
